gene	description	category	chrom	strand	gene_length	n_junctions	max_abs_dpsi	comparisons	events	n_neuro_go	n_go	neuro_terms
PLEKHA5	pleckstrin homology domain containing A5	neuronal (weak annotation)	chr12	+	246752	4	0.287	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	2	12	glutamatergic synapse; postsynaptic density
PBRM1	polybromo 1	other	chr3	-	140566	3	0.284	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	22	""
SNX29	sorting nexin 29	other	chr16	+	597617	6	0.284	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	1	""
CALD1	caldesmon 1	other	chr7	+	226478	4	0.277	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	15	""
TRIM33	tripartite motif containing 33	other	chr1	-	118414	4	0.277	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	13	""
CCDC82	coiled-coil domain containing 82	other	chr11	-	40737	6	0.276	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	1	""
HMCES	5-hydroxymethylcytosine binding, ES cell specific	other	chr3	+	27376	3	0.276	0hr->1hr,1hr->6hr	alt 5'ss (A5SS)	0	9	""
MAP7	microtubule associated protein 7	neuronal (weak annotation)	chr6	-	208539	4	0.275	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	1	14	axon
FBXW2	F-box and WD repeat domain containing 2	other	chr9	-	41485	4	0.274	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	6	""
GPBP1	GC-rich promoter binding protein 1	other	chr5	+	90732	5	0.274	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	11	""
ATF2	activating transcription factor 2	neuronal (weak annotation)	chr2	-	96133	4	0.273	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	2	84	motor neuron apoptotic process; positive regulation of neuron apoptotic process
ENSG00000290921		other	chr10	-	118346	3	0.273	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	0	""
CCDC66	coiled-coil domain containing 66	other	chr3	+	64682	5	0.269	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	18	""
EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	other	chr2	-	58313	4	0.269	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	44	""
ZMYND8	zinc finger MYND-type containing 8	other	chr20	-	147676	4	0.269	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	13	""
ETV1	ETS variant transcription factor 1	neuronal (weak annotation)	chr7	-	100197	3	0.268	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	2	16	axon guidance; peripheral nervous system neuron development
DGKD	diacylglycerol kinase delta	other	chr2	+	117621	4	0.267	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	28	""
IFNAR2	interferon alpha and beta receptor subunit 2	other	chr21	+	60394	3	0.267	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	16	""
LCOR	ligand dependent nuclear receptor corepressor	other	chr10	+	163722	4	0.264	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	13	""
ARHGAP18	Rho GTPase activating protein 18	other	chr6	-	191494	2	0.262	0hr->6hr	alt 5'ss (A5SS)	0	15	""
ARL13B	ADP ribosylation factor like GTPase 13B	neuronal	chr3	+	75576	1	0.261	1hr->6hr	alt 5'ss (A5SS)	4	20	axoneme; formation of radial glial scaffolds; interneuron migration from the subpallium to the cortex; neural tube patterning
HMGA1	high mobility group AT-hook 1	other	chr6	+	9423	2	0.261	0hr->6hr	alt 3'ss (A3SS)	0	35	""
KDM1A	lysine demethylase 1A	neuronal (weak annotation)	chr1	+	64247	5	0.261	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	3	63	neuron maturation; positive regulation of neural precursor cell proliferation; positive regulation of neuron projection development
ENSG00000226824		other	chr7	+	46863	3	0.26	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	0	""
MBOAT2	membrane bound O-acyltransferase domain containing 2	other	chr2	-	151046	3	0.259	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	15	""
CEP170	centrosomal protein 170	other	chr1	-	131390	3	0.258	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	7	""
MBNL1	muscleblind like splicing regulator 1	other	chr3	+	221953	4	0.258	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	18	""
TVP23A	trans-golgi network vesicle protein 23 homolog A	other	chr16	-	57966	1	0.258	0hr->6hr	alt 3'ss (A3SS)	0	4	""
ONECUT1	one cut homeobox 1	other	chr15	-	36026	2	0.257	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	28	""
NCALD	neurocalcin delta	other	chr8	-	438366	4	0.255	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	11	""
RSPRY1	ring finger and SPRY domain containing 1	other	chr16	+	54333	2	0.254	0hr->6hr	alt 5'ss (A5SS)	0	6	""
TERF1	telomeric repeat binding factor 1	other	chr8	+	39321	6	0.253	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	42	""
LRBA	LPS responsive beige-like anchor protein	other	chr4	-	751331	4	0.251	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	13	""
OSBPL6	oxysterol binding protein like 6	other	chr2	+	208444	6	0.251	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	15	""
RBM6	RNA binding motif protein 6	other	chr3	+	160040	3	0.251	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	6	""
C20orf96	chromosome 20 open reading frame 96	other	chr20	-	19916	3	0.25	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	0	""
CARMIL2	capping protein regulator and myosin 1 linker 2	other	chr16	+	12582	5	0.25	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	26	""
ENSG00000284707		other	chr7	-	121298	3	0.248	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	0	""
ENSG00000290928		other	chr17	+	81610	3	0.248	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	0	""
CCNL1	cyclin L1	other	chr3	-	14253	2	0.247	0hr->1hr	alt 3'ss (A3SS)	0	12	""
PEAK1	pseudopodium enriched atypical kinase 1	other	chr15	-	320501	3	0.247	1hr->6hr	alt 5'ss (A5SS)	0	14	""
PHF3	PHD finger protein 3	other	chr6	+	143619	6	0.246	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	5	""
WSB1	WD repeat and SOCS box containing 1	other	chr17	+	21870	4	0.245	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	8	""
TMEM181	transmembrane protein 181	other	chr6	+	99172	2	0.244	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	2	""
MALAT1	metastasis associated lung adenocarcinoma transcript 1	other	chr11	+	10434	2	0.242	0hr->1hr	alt 5'ss (A5SS)	0	4	""
LRRFIP1	LRR binding FLII interacting protein 1	other	chr2	+	186139	5	0.241	0hr->1hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	15	""
UBE2Q2P2	UBE2Q2 pseudogene 2	other	chr15	+	64335	6	0.241	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	0	""
KIAA0825	KIAA0825	other	chr5	-	467780	3	0.24	0hr->1hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	1	""
PSD3	pleckstrin and Sec7 domain containing 3	neuronal (weak annotation)	chr8	-	557428	3	0.24	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	1	6	postsynaptic density
ZNF608	zinc finger protein 608	other	chr5	-	111938	2	0.24	1hr->6hr	alt 5'ss (A5SS)	0	4	""
ANKRD36C	ankyrin repeat domain 36C	other	chr2	-	155990	7	0.239	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	1	""
ADGRB3-DT	ADGRB3 divergent transcript	other	chr6	-	7296	1	0.238	0hr->6hr	alt 5'ss (A5SS)	0	0	""
BTBD3	BTB domain containing 3	neuronal (weak annotation)	chr20	+	109047	2	0.238	0hr->6hr	alt 5'ss (A5SS)	1	7	dendrite morphogenesis
SLC25A29	solute carrier family 25 member 29	other	chr14	-	15432	4	0.238	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	14	""
PDE10A	phosphodiesterase 10A	other	chr6	-	660831	2	0.237	1hr->6hr	alt 3'ss (A3SS)	0	12	""
THSD7B	thrombospondin type 1 domain containing 7B	other	chr2	+	912417	4	0.237	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	3	""
AP2B1	adaptor related protein complex 2 subunit beta 1	neuronal (weak annotation)	chr17	+	148368	2	0.236	0hr->6hr	alt 3'ss (A3SS)	3	24	glutamatergic synapse; postsynapse; postsynaptic neurotransmitter receptor internalization
ZNF93	zinc finger protein 93	other	chr19	+	97648	7	0.236	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	8	""
ENSG00000291220		other	chr5	+	46894	1	0.235	1hr->6hr	alt 5'ss (A5SS)	0	0	""
MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	other	chr10	+	218985	2	0.235	1hr->6hr	alt 3'ss (A3SS)	0	11	""
ENSG00000288035		other	chr5	-	271867	3	0.233	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	0	""
NEDD4L	NEDD4 like E3 ubiquitin protein ligase	neuronal (weak annotation)	chr18	+	357315	4	0.231	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	2	38	positive regulation of dendrite extension; regulation of dendrite morphogenesis
ZNF33B	zinc finger protein 33B	other	chr10	-	64387	3	0.231	1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	7	""
ST18	ST18 C2H2C-type zinc finger transcription factor	other	chr8	-	350122	7	0.229	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	13	""
ZFYVE16	zinc finger FYVE-type containing 16	other	chr5	+	75458	2	0.229	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	13	""
CHD7	chromodomain helicase DNA binding protein 7	neuronal (weak annotation)	chr8	+	189289	2	0.228	0hr->1hr,1hr->6hr	alt 5'ss (A5SS)	2	59	cranial nerve development; olfactory nerve development
ENSG00000291073		other	chr16	-	73816	3	0.227	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	0	""
PTPRN	protein tyrosine phosphatase receptor type N	neuronal (weak annotation)	chr2	-	20026	2	0.227	1hr->6hr	alt 3'ss (A3SS)	3	24	axon terminus; neuronal cell body; synapse
CKLF	chemokine like factor	other	chr16	+	13689	4	0.226	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	11	""
DAAM1	dishevelled associated activator of morphogenesis 1	other	chr14	+	182760	3	0.225	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	12	""
ICA1	islet cell autoantigen 1	neuronal (weak annotation)	chr7	-	149504	3	0.225	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	2	14	neurotransmitter transport; synaptic vesicle membrane
ZNF254	zinc finger protein 254	other	chr19	+	96564	2	0.225	0hr->6hr	alt 5'ss (A5SS)	0	6	""
GOLGA1	golgin A1	other	chr9	-	70218	3	0.224	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	7	""
PRKAG2-AS1	PRKAG2 antisense RNA 1	other	chr7	+	2188	1	0.224	0hr->6hr	alt 3'ss (A3SS)	0	0	""
ENSG00000254400		other	chr11	-	779	2	0.223	0hr->6hr	alt 5'ss (A5SS)	0	0	""
GPCPD1	glycerophosphocholine phosphodiesterase 1	other	chr20	-	66621	4	0.223	1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	5	""
CSRNP3	cysteine and serine rich nuclear protein 3	other	chr2	+	219766	2	0.222	1hr->6hr	alt 5'ss (A5SS)	0	10	""
GIGYF2	GRB10 interacting GYF protein 2	neuronal (weak annotation)	chr2	+	163307	6	0.222	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	2	29	proximal dendrite; spinal cord motor neuron differentiation
DAPK3	death associated protein kinase 3	other	chr19	-	12672	2	0.22	0hr->1hr	alt 5'ss (A5SS)	0	36	""
ENSG00000291174		other	chr11	+	11464	2	0.22	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	0	""
FBXO44	F-box protein 44	other	chr1	+	8953	1	0.22	1hr->6hr	alt 3'ss (A3SS)	0	10	""
CHST8	carbohydrate sulfotransferase 8	other	chr19	+	151587	2	0.219	0hr->1hr	alt 3'ss (A3SS)	0	10	""
CYLD	CYLD lysine 63 deubiquitinase	other	chr16	+	59910	2	0.219	0hr->6hr	alt 3'ss (A3SS)	0	40	""
NCOR1	nuclear receptor corepressor 1	other	chr17	-	189121	6	0.219	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	26	""
NTNG1	netrin G1	neuronal	chr1	+	344919	2	0.219	0hr->6hr	alt 5'ss (A5SS)	9	21	anchored component of presynaptic active zone membrane; axonogenesis; glutamatergic synapse; modulation of chemical synaptic transmission
ZNF638	zinc finger protein 638	other	chr2	+	158509	5	0.219	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	9	""
PRRC2C	proline rich coiled-coil 2C	other	chr1	+	108038	2	0.218	1hr->6hr	alt 3'ss (A3SS)	0	8	""
SGCE	sarcoglycan epsilon	neuronal (weak annotation)	chr7	-	132369	6	0.218	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	1	10	dendrite membrane
YTHDC2	YTH domain containing 2	other	chr5	+	81672	6	0.218	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	20	""
ATP2B1	ATPase plasma membrane Ca2+ transporting 1	neuronal	chr12	-	121318	4	0.217	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	11	49	dendritic spine membrane; GABA-ergic synapse; glutamatergic synapse; immunological synapse
ING2	inhibitor of growth family member 2	other	chr4	+	7372	2	0.217	1hr->6hr	alt 5'ss (A5SS)	0	33	""
PRKACB	protein kinase cAMP-activated catalytic subunit beta	neuronal (weak annotation)	chr1	+	160492	5	0.217	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	2	25	negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning; neural tube closure
SLC12A2	solute carrier family 12 member 2	neuronal (weak annotation)	chr5	+	105912	2	0.217	1hr->6hr	alt 3'ss (A3SS)	3	59	neuron projection; neuronal cell body; regulation of spontaneous synaptic transmission
TRA2A	transformer 2 alpha homolog	other	chr7	-	27270	1	0.217	0hr->1hr	alt 3'ss (A3SS)	0	9	""
DHX30	DExH-box helicase 30	other	chr3	+	47515	2	0.216	0hr->6hr	alt 3'ss (A3SS)	0	15	""
DLEU2	deleted in lymphocytic leukemia 2	other	chr13	-	169051	2	0.216	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	0	""
RPRD2	regulation of nuclear pre-mRNA domain containing 2	other	chr1	+	113476	4	0.216	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	4	""
ICA1L	islet cell autoantigen 1 like	other	chr2	-	98737	6	0.215	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	4	""
MAD2L2	mitotic arrest deficient 2 like 2	other	chr1	-	32961	4	0.215	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	35	""
RABEP1	rabaptin, RAB GTPase binding effector protein 1	other	chr17	+	104107	2	0.215	0hr->6hr	alt 3'ss (A3SS)	0	21	""
ASH1L	ASH1 like histone lysine methyltransferase	other	chr1	-	227938	3	0.213	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	32	""
CFC1B	cripto, FRL-1, cryptic family 1B	other	chr2	+	7408	2	0.213	1hr->6hr	alt 5'ss (A5SS)	0	12	""
EHBP1	EH domain binding protein 1	other	chr2	+	372637	5	0.213	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	9	""
CARD19	caspase recruitment domain family member 19	other	chr9	+	17138	6	0.212	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	8	""
ACADM	acyl-CoA dehydrogenase medium chain	neuronal (weak annotation)	chr1	+	63240	4	0.211	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	1	23	axon
FAM104A	family with sequence similarity 104 member A	other	chr17	-	29401	5	0.211	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	1	""
RNF24	ring finger protein 24	other	chr20	-	88265	4	0.211	0hr->1hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	8	""
PMFBP1	polyamine modulated factor 1 binding protein 1	other	chr16	-	64722	3	0.21	1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	4	""
SENP6	SUMO specific peptidase 6	other	chr6	+	116773	1	0.21	0hr->6hr	alt 3'ss (A3SS)	0	11	""
ZNF749	zinc finger protein 749	other	chr19	+	46747	1	0.21	0hr->6hr	alt 5'ss (A5SS)	0	7	""
ASXL3	ASXL transcriptional regulator 3	other	chr18	+	172977	1	0.209	0hr->6hr	alt 5'ss (A5SS)	0	8	""
TACC2	transforming acidic coiled-coil containing protein 2	other	chr10	+	265383	5	0.209	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	10	""
TANK	TRAF family member associated NFKB activator	other	chr2	+	99323	2	0.209	0hr->6hr	alt 3'ss (A3SS)	0	19	""
TMEM170A	transmembrane protein 170A	other	chr16	-	22444	3	0.209	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	7	""
CFC1	cripto, FRL-1, cryptic family 1	other	chr2	-	7460	6	0.208	0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	16	""
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6	other	chr20	+	32383	2	0.208	0hr->6hr	alt 3'ss (A3SS)	0	18	""
FBXO2	F-box protein 2	neuronal (weak annotation)	chr1	-	18768	1	0.207	1hr->6hr	alt 5'ss (A5SS)	1	18	dendritic spine
DRAM2	DNA damage regulated autophagy modulator 2	other	chr1	-	23045	2	0.206	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	13	""
ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	other	chr1	+	93103	1	0.206	1hr->6hr	alt 3'ss (A3SS)	0	15	""
TPM1	tropomyosin 1	other	chr15	+	29296	3	0.206	0hr->1hr,0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	38	""
OSBPL9	oxysterol binding protein like 9	other	chr1	+	221249	4	0.205	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	0	10	""
PGAP1	post-GPI attachment to proteins inositol deacylase 1	other	chr2	-	94793	2	0.205	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	14	""
RND2	Rho family GTPase 2	other	chr17	+	6835	3	0.204	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	22	""
DENND4C	DENN domain containing 4C	other	chr9	+	143847	4	0.202	0hr->1hr,1hr->6hr	alt 3'ss (A3SS)	0	14	""
DLX6-AS1	DLX6 antisense RNA 1	other	chr7	-	58966	4	0.202	0hr->1hr,0hr->6hr	alt 3'ss (A3SS)	0	0	""
NOL4	nucleolar protein 4	other	chr18	-	373853	3	0.202	0hr->6hr,1hr->6hr	alt 5'ss (A5SS)	0	2	""
NRXN2	neurexin 2	neuronal	chr11	-	117024	2	0.201	0hr->6hr	alt 5'ss (A5SS)	9	22	chemical synaptic transmission; gephyrin clustering involved in postsynaptic density assembly; neuroligin clustering involved in postsynaptic membrane assembly; neuron cell-cell adhesion
SECISBP2L	SECIS binding protein 2 like	other	chr15	-	58087	2	0.201	1hr->6hr	alt 3'ss (A3SS)	0	7	""
SPAG1	sperm associated antigen 1	neuronal (weak annotation)	chr8	+	101373	2	0.201	1hr->6hr	alt 5'ss (A5SS)	2	9	axonemal dynein complex assembly; dynein axonemal particle
ZNF43	zinc finger protein 43	other	chr19	-	47180	1	0.201	1hr->6hr	alt 5'ss (A5SS)	0	7	""
ADGRB3	adhesion G protein-coupled receptor B3	neuronal	chr6	+	755322	4	0.2	0hr->6hr,1hr->6hr	alt 3'ss (A3SS)	6	19	maintenance of synapse structure; neuron remodeling; positive regulation of synapse assembly; postsynapse
CYRIB	CYFIP related Rac1 interactor B	other	chr8	-	177912	5	0.2	0hr->1hr,0hr->6hr,1hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	20	""
DGCR5	DiGeorge syndrome critical region gene 5	other	chr22	+	85893	1	0.2	1hr->6hr	alt 3'ss (A3SS)	0	0	""
ENAH	ENAH actin regulator	neuronal (weak annotation)	chr1	-	166378	4	0.2	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	2	16	axon guidance; synapse
RNMT	RNA guanine-7 methyltransferase	other	chr18	+	37897	3	0.2	0hr->6hr	alt 3'ss (A3SS),alt 5'ss (A5SS)	0	12	""
AUH	AU RNA binding methylglutaconyl-CoA hydratase	other	chr9	-	148147	2	0.199	0hr->6hr	alt 3'ss (A3SS)	0	8	""
FAM110B	family with sequence similarity 110 member B	other	chr8	+	209878	2	0.199	0hr->1hr,0hr->6hr	alt 5'ss (A5SS)	0	4	""
